"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 07 08:05:07 GMT 2021","Tue Sep 07 08:05:20 GMT 2021","13112","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Tue Sep 07 08:05:20 GMT 2021","Tue Sep 07 08:05:30 GMT 2021","10109","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Tue Sep 07 08:07:10 GMT 2021","Tue Sep 07 08:07:17 GMT 2021","7317","vizsgaremek_tests","test_1051_list","","","","test_1051_list",""
"failed","Tue Sep 07 08:07:17 GMT 2021","Tue Sep 07 08:07:32 GMT 2021","15410","vizsgaremek_tests","test_1060_pag","","","","test_1060_pag",""
"failed","Tue Sep 07 08:05:30 GMT 2021","Tue Sep 07 08:05:48 GMT 2021","18366","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Tue Sep 07 08:03:47 GMT 2021","Tue Sep 07 08:05:07 GMT 2021","79884","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Tue Sep 07 08:07:32 GMT 2021","Tue Sep 07 08:07:45 GMT 2021","12387","vizsgaremek_tests","test_1070_save","","","","test_1070_save",""
"passed","Tue Sep 07 08:05:56 GMT 2021","Tue Sep 07 08:06:04 GMT 2021","8085","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Tue Sep 07 08:06:56 GMT 2021","Tue Sep 07 08:07:10 GMT 2021","13360","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"failed","Tue Sep 07 08:02:49 GMT 2021","Tue Sep 07 08:03:07 GMT 2021","18558","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Tue Sep 07 08:03:07 GMT 2021","Tue Sep 07 08:03:47 GMT 2021","39263","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Tue Sep 07 08:06:15 GMT 2021","Tue Sep 07 08:06:56 GMT 2021","40858","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Tue Sep 07 08:06:04 GMT 2021","Tue Sep 07 08:06:15 GMT 2021","11050","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Tue Sep 07 08:05:48 GMT 2021","Tue Sep 07 08:05:56 GMT 2021","8074","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
