"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 14 11:01:04 GMT 2021","Sat Aug 14 11:01:18 GMT 2021","13829","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"failed","Sat Aug 14 11:03:42 GMT 2021","Sat Aug 14 11:04:00 GMT 2021","18570","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Sat Aug 14 11:03:31 GMT 2021","Sat Aug 14 11:03:42 GMT 2021","10489","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"broken","Sat Aug 14 11:04:29 GMT 2021","Sat Aug 14 11:04:30 GMT 2021","1958","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Sat Aug 14 11:04:32 GMT 2021","Sat Aug 14 11:04:44 GMT 2021","12722","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"failed","Sat Aug 14 11:03:18 GMT 2021","Sat Aug 14 11:03:31 GMT 2021","13356","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sat Aug 14 11:04:09 GMT 2021","Sat Aug 14 11:04:17 GMT 2021","8356","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Sat Aug 14 11:01:58 GMT 2021","Sat Aug 14 11:03:18 GMT 2021","80353","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Sat Aug 14 11:04:00 GMT 2021","Sat Aug 14 11:04:09 GMT 2021","8362","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Sat Aug 14 11:04:17 GMT 2021","Sat Aug 14 11:04:29 GMT 2021","11369","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Sat Aug 14 11:01:18 GMT 2021","Sat Aug 14 11:01:58 GMT 2021","39660","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Sat Aug 14 11:04:44 GMT 2021","Sat Aug 14 11:04:52 GMT 2021","7517","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
