"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 11:04:15 GMT 2021","Sat Aug 14 11:04:28 GMT 2021","13379","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Sat Aug 14 11:04:28 GMT 2021","Sat Aug 14 11:04:35 GMT 2021","7308","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Sat Aug 14 11:03:53 GMT 2021","Sat Aug 14 11:04:01 GMT 2021","8101","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Sat Aug 14 11:01:44 GMT 2021","Sat Aug 14 11:03:04 GMT 2021","79937","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Sat Aug 14 11:01:04 GMT 2021","Sat Aug 14 11:01:44 GMT 2021","39319","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"broken","Sat Aug 14 11:04:13 GMT 2021","Sat Aug 14 11:04:14 GMT 2021","1904","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"failed","Sat Aug 14 11:03:04 GMT 2021","Sat Aug 14 11:03:17 GMT 2021","13150","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sat Aug 14 11:03:45 GMT 2021","Sat Aug 14 11:03:53 GMT 2021","8107","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Sat Aug 14 11:00:45 GMT 2021","Sat Aug 14 11:01:04 GMT 2021","19170","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Sat Aug 14 11:04:01 GMT 2021","Sat Aug 14 11:04:13 GMT 2021","11049","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Sat Aug 14 11:03:17 GMT 2021","Sat Aug 14 11:03:27 GMT 2021","10169","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Sat Aug 14 11:03:27 GMT 2021","Sat Aug 14 11:03:45 GMT 2021","18303","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
