"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 11 15:48:32 GMT 2021","Wed Aug 11 15:48:54 GMT 2021","22151","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Wed Aug 11 15:45:27 GMT 2021","Wed Aug 11 15:46:05 GMT 2021","38805","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Wed Aug 11 15:46:05 GMT 2021","Wed Aug 11 15:47:25 GMT 2021","79353","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 11 15:47:38 GMT 2021","Wed Aug 11 15:47:48 GMT 2021","9974","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Wed Aug 11 15:45:13 GMT 2021","Wed Aug 11 15:45:27 GMT 2021","13724","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Wed Aug 11 15:48:22 GMT 2021","Wed Aug 11 15:48:32 GMT 2021","10387","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Wed Aug 11 15:48:55 GMT 2021","Wed Aug 11 15:49:06 GMT 2021","10119","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Wed Aug 11 15:48:14 GMT 2021","Wed Aug 11 15:48:22 GMT 2021","7968","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Wed Aug 11 15:49:06 GMT 2021","Wed Aug 11 15:49:08 GMT 2021","2707","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"failed","Wed Aug 11 15:47:25 GMT 2021","Wed Aug 11 15:47:38 GMT 2021","12993","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"failed","Wed Aug 11 15:47:48 GMT 2021","Wed Aug 11 15:48:06 GMT 2021","18100","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 15:48:06 GMT 2021","Wed Aug 11 15:48:14 GMT 2021","7951","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
