"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 07 08:05:44 GMT 2021","Tue Sep 07 08:05:54 GMT 2021","10147","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Tue Sep 07 08:05:54 GMT 2021","Tue Sep 07 08:06:13 GMT 2021","18286","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Tue Sep 07 08:03:32 GMT 2021","Tue Sep 07 08:04:11 GMT 2021","39263","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Tue Sep 07 08:06:21 GMT 2021","Tue Sep 07 08:06:29 GMT 2021","8068","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"failed","Tue Sep 07 08:05:31 GMT 2021","Tue Sep 07 08:05:44 GMT 2021","13071","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Tue Sep 07 08:07:34 GMT 2021","Tue Sep 07 08:07:41 GMT 2021","7711","vizsgaremek_tests","test_1051_list","","","","test_1051_list",""
"failed","Tue Sep 07 08:07:41 GMT 2021","Tue Sep 07 08:07:57 GMT 2021","15355","vizsgaremek_tests","test_1060_pag","","","","test_1060_pag",""
"failed","Tue Sep 07 08:03:13 GMT 2021","Tue Sep 07 08:03:32 GMT 2021","18719","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Tue Sep 07 08:06:40 GMT 2021","Tue Sep 07 08:07:20 GMT 2021","40937","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Tue Sep 07 08:06:13 GMT 2021","Tue Sep 07 08:06:21 GMT 2021","8011","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Tue Sep 07 08:07:20 GMT 2021","Tue Sep 07 08:07:34 GMT 2021","13300","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Tue Sep 07 08:04:11 GMT 2021","Tue Sep 07 08:05:31 GMT 2021","79901","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Tue Sep 07 08:06:29 GMT 2021","Tue Sep 07 08:06:40 GMT 2021","10913","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Tue Sep 07 08:07:57 GMT 2021","Tue Sep 07 08:08:09 GMT 2021","12404","vizsgaremek_tests","test_1070_save","","","","test_1070_save",""
