"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 05 09:20:05 GMT 2021","Sun Sep 05 09:20:46 GMT 2021","41041","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Sun Sep 05 09:19:08 GMT 2021","Sun Sep 05 09:19:18 GMT 2021","10373","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Sun Sep 05 09:21:07 GMT 2021","Sun Sep 05 09:21:23 GMT 2021","15534","vizsgaremek_tests","test_1060_pag","","","","test_1060_pag",""
"passed","Sun Sep 05 09:21:23 GMT 2021","Sun Sep 05 09:21:35 GMT 2021","12522","vizsgaremek_tests","test_1070_save","","","","test_1070_save",""
"failed","Sun Sep 05 09:19:18 GMT 2021","Sun Sep 05 09:19:37 GMT 2021","18408","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"failed","Sun Sep 05 09:18:55 GMT 2021","Sun Sep 05 09:19:08 GMT 2021","13251","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sun Sep 05 09:17:35 GMT 2021","Sun Sep 05 09:18:55 GMT 2021","79971","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Sun Sep 05 09:19:53 GMT 2021","Sun Sep 05 09:20:05 GMT 2021","11195","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Sun Sep 05 09:16:56 GMT 2021","Sun Sep 05 09:17:35 GMT 2021","39303","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Sun Sep 05 09:16:36 GMT 2021","Sun Sep 05 09:16:55 GMT 2021","19480","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Sun Sep 05 09:19:45 GMT 2021","Sun Sep 05 09:19:53 GMT 2021","8181","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Sun Sep 05 09:20:46 GMT 2021","Sun Sep 05 09:20:59 GMT 2021","13519","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Sun Sep 05 09:19:37 GMT 2021","Sun Sep 05 09:19:45 GMT 2021","8242","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Sun Sep 05 09:20:59 GMT 2021","Sun Sep 05 09:21:07 GMT 2021","7989","vizsgaremek_tests","test_1051_list","","","","test_1051_list",""
