"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 13:52:31 GMT 2021","Wed Aug 11 13:52:41 GMT 2021","10112","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Wed Aug 11 13:53:26 GMT 2021","Wed Aug 11 13:53:49 GMT 2021","22701","vizsgaremek_tests","test_1041_upload","","","","test_1045_upload",""
"broken","Wed Aug 11 13:53:15 GMT 2021","Wed Aug 11 13:53:26 GMT 2021","10532","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_new_data_ent",""
"passed","Wed Aug 11 13:52:59 GMT 2021","Wed Aug 11 13:53:07 GMT 2021","8035","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Wed Aug 11 13:50:58 GMT 2021","Wed Aug 11 13:52:18 GMT 2021","79726","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"failed","Wed Aug 11 13:52:41 GMT 2021","Wed Aug 11 13:52:59 GMT 2021","18238","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 13:50:19 GMT 2021","Wed Aug 11 13:50:58 GMT 2021","39256","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Wed Aug 11 13:53:59 GMT 2021","Wed Aug 11 13:54:02 GMT 2021","2723","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Wed Aug 11 13:53:49 GMT 2021","Wed Aug 11 13:53:59 GMT 2021","10300","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"failed","Wed Aug 11 13:49:58 GMT 2021","Wed Aug 11 13:50:19 GMT 2021","20207","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"failed","Wed Aug 11 13:52:18 GMT 2021","Wed Aug 11 13:52:31 GMT 2021","13050","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Wed Aug 11 13:53:07 GMT 2021","Wed Aug 11 13:53:15 GMT 2021","8040","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
