"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 07:23:58 GMT 2021","Thu Aug 12 07:24:06 GMT 2021","8085","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Thu Aug 12 07:23:39 GMT 2021","Thu Aug 12 07:23:57 GMT 2021","18305","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Thu Aug 12 07:21:16 GMT 2021","Thu Aug 12 07:21:56 GMT 2021","39241","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Thu Aug 12 07:24:06 GMT 2021","Thu Aug 12 07:24:14 GMT 2021","8114","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"failed","Thu Aug 12 07:23:15 GMT 2021","Thu Aug 12 07:23:28 GMT 2021","13104","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Thu Aug 12 07:24:57 GMT 2021","Thu Aug 12 07:25:00 GMT 2021","2922","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"failed","Thu Aug 12 07:24:24 GMT 2021","Thu Aug 12 07:24:47 GMT 2021","22865","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Thu Aug 12 07:23:28 GMT 2021","Thu Aug 12 07:23:39 GMT 2021","10148","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Thu Aug 12 07:24:14 GMT 2021","Thu Aug 12 07:24:24 GMT 2021","10003","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"failed","Thu Aug 12 07:21:02 GMT 2021","Thu Aug 12 07:21:16 GMT 2021","14000","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Thu Aug 12 07:24:47 GMT 2021","Thu Aug 12 07:24:57 GMT 2021","10325","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Thu Aug 12 07:21:56 GMT 2021","Thu Aug 12 07:23:15 GMT 2021","79752","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
