"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 15:47:44 GMT 2021","Wed Aug 11 15:47:47 GMT 2021","3117","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Wed Aug 11 15:46:18 GMT 2021","Wed Aug 11 15:46:28 GMT 2021","9999","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Wed Aug 11 15:46:28 GMT 2021","Wed Aug 11 15:46:46 GMT 2021","18155","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 15:47:02 GMT 2021","Wed Aug 11 15:47:12 GMT 2021","9843","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Wed Aug 11 15:46:46 GMT 2021","Wed Aug 11 15:46:54 GMT 2021","7928","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Wed Aug 11 15:47:12 GMT 2021","Wed Aug 11 15:47:34 GMT 2021","22077","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Wed Aug 11 15:46:54 GMT 2021","Wed Aug 11 15:47:02 GMT 2021","7962","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"failed","Wed Aug 11 15:44:57 GMT 2021","Wed Aug 11 15:45:11 GMT 2021","13394","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"broken","Wed Aug 11 15:45:50 GMT 2021","Wed Aug 11 15:46:05 GMT 2021","14913","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 11 15:45:11 GMT 2021","Wed Aug 11 15:45:50 GMT 2021","38826","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Wed Aug 11 15:46:05 GMT 2021","Wed Aug 11 15:46:18 GMT 2021","12927","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Wed Aug 11 15:47:34 GMT 2021","Wed Aug 11 15:47:44 GMT 2021","10179","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
