"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 15:45:52 GMT 2021","Wed Aug 11 15:46:00 GMT 2021","7978","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Wed Aug 11 15:43:04 GMT 2021","Wed Aug 11 15:43:43 GMT 2021","39026","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Wed Aug 11 15:46:10 GMT 2021","Wed Aug 11 15:46:32 GMT 2021","22396","vizsgaremek_tests","test_1041_upload","","","","test_1045_upload",""
"failed","Wed Aug 11 15:45:02 GMT 2021","Wed Aug 11 15:45:15 GMT 2021","12960","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"failed","Wed Aug 11 15:45:25 GMT 2021","Wed Aug 11 15:45:44 GMT 2021","18200","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"failed","Wed Aug 11 15:42:46 GMT 2021","Wed Aug 11 15:43:04 GMT 2021","18533","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Wed Aug 11 15:46:00 GMT 2021","Wed Aug 11 15:46:10 GMT 2021","9933","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Wed Aug 11 15:43:43 GMT 2021","Wed Aug 11 15:45:02 GMT 2021","79334","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 11 15:46:32 GMT 2021","Wed Aug 11 15:46:41 GMT 2021","9197","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Wed Aug 11 15:45:44 GMT 2021","Wed Aug 11 15:45:52 GMT 2021","8033","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Wed Aug 11 15:46:41 GMT 2021","Wed Aug 11 15:46:44 GMT 2021","2713","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Wed Aug 11 15:45:15 GMT 2021","Wed Aug 11 15:45:25 GMT 2021","10025","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
