"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 13:51:05 GMT 2021","Wed Aug 11 13:52:25 GMT 2021","79833","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 11 13:52:38 GMT 2021","Wed Aug 11 13:52:48 GMT 2021","10206","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Wed Aug 11 13:53:15 GMT 2021","Wed Aug 11 13:53:23 GMT 2021","8123","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"failed","Wed Aug 11 13:52:48 GMT 2021","Wed Aug 11 13:53:07 GMT 2021","18400","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 13:54:08 GMT 2021","Wed Aug 11 13:54:11 GMT 2021","3463","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"broken","Wed Aug 11 13:53:23 GMT 2021","Wed Aug 11 13:53:34 GMT 2021","11008","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_new_data_ent",""
"failed","Wed Aug 11 13:52:25 GMT 2021","Wed Aug 11 13:52:38 GMT 2021","13184","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Wed Aug 11 13:53:07 GMT 2021","Wed Aug 11 13:53:15 GMT 2021","8162","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Wed Aug 11 13:53:34 GMT 2021","Wed Aug 11 13:53:57 GMT 2021","22758","vizsgaremek_tests","test_1041_upload","","","","test_1045_upload",""
"failed","Wed Aug 11 13:50:13 GMT 2021","Wed Aug 11 13:50:26 GMT 2021","12653","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Wed Aug 11 13:50:26 GMT 2021","Wed Aug 11 13:51:05 GMT 2021","39066","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Wed Aug 11 13:53:57 GMT 2021","Wed Aug 11 13:54:08 GMT 2021","10338","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
