"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 14 10:32:13 GMT 2021","Sat Aug 14 10:32:34 GMT 2021","21111","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Sat Aug 14 10:35:30 GMT 2021","Sat Aug 14 10:35:40 GMT 2021","10428","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Sat Aug 14 10:35:53 GMT 2021","Sat Aug 14 10:35:56 GMT 2021","3323","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Sat Aug 14 10:35:14 GMT 2021","Sat Aug 14 10:35:22 GMT 2021","8008","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"broken","Sat Aug 14 10:35:40 GMT 2021","Sat Aug 14 10:35:42 GMT 2021","1947","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"failed","Sat Aug 14 10:34:56 GMT 2021","Sat Aug 14 10:35:14 GMT 2021","18200","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Sat Aug 14 10:34:46 GMT 2021","Sat Aug 14 10:34:56 GMT 2021","10064","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Sat Aug 14 10:35:43 GMT 2021","Sat Aug 14 10:35:53 GMT 2021","10235","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"failed","Sat Aug 14 10:34:33 GMT 2021","Sat Aug 14 10:34:46 GMT 2021","13007","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sat Aug 14 10:33:13 GMT 2021","Sat Aug 14 10:34:33 GMT 2021","79615","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Sat Aug 14 10:32:34 GMT 2021","Sat Aug 14 10:33:13 GMT 2021","39348","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Sat Aug 14 10:35:22 GMT 2021","Sat Aug 14 10:35:30 GMT 2021","7982","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
