"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 17:07:41 GMT 2021","Wed Aug 11 17:07:51 GMT 2021","10277","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Wed Aug 11 17:09:10 GMT 2021","Wed Aug 11 17:09:13 GMT 2021","3030","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"failed","Wed Aug 11 17:07:51 GMT 2021","Wed Aug 11 17:08:09 GMT 2021","18343","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 17:08:18 GMT 2021","Wed Aug 11 17:08:26 GMT 2021","8204","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Wed Aug 11 17:06:08 GMT 2021","Wed Aug 11 17:07:28 GMT 2021","79862","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"failed","Wed Aug 11 17:05:00 GMT 2021","Wed Aug 11 17:05:28 GMT 2021","28267","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Wed Aug 11 17:08:59 GMT 2021","Wed Aug 11 17:09:10 GMT 2021","10433","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Wed Aug 11 17:08:26 GMT 2021","Wed Aug 11 17:08:37 GMT 2021","10672","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"failed","Wed Aug 11 17:08:37 GMT 2021","Wed Aug 11 17:08:59 GMT 2021","22806","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Wed Aug 11 17:08:10 GMT 2021","Wed Aug 11 17:08:18 GMT 2021","8175","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Wed Aug 11 17:05:28 GMT 2021","Wed Aug 11 17:06:08 GMT 2021","39483","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Wed Aug 11 17:07:28 GMT 2021","Wed Aug 11 17:07:41 GMT 2021","13170","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
