"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 12:43:57 GMT 2021","Wed Aug 18 12:44:09 GMT 2021","12214","vizsgaremek_tests","test_1070_save","","","","test_1070_save",""
"passed","Wed Aug 18 12:43:34 GMT 2021","Wed Aug 18 12:43:42 GMT 2021","7704","vizsgaremek_tests","test_1051_list","","","","test_1051_list",""
"passed","Wed Aug 18 12:42:29 GMT 2021","Wed Aug 18 12:42:40 GMT 2021","10929","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"failed","Wed Aug 18 12:43:42 GMT 2021","Wed Aug 18 12:43:57 GMT 2021","15370","vizsgaremek_tests","test_1060_pag","","","","test_1060_pag",""
"passed","Wed Aug 18 12:43:21 GMT 2021","Wed Aug 18 12:43:34 GMT 2021","13271","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Wed Aug 18 12:42:40 GMT 2021","Wed Aug 18 12:43:21 GMT 2021","40629","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Wed Aug 18 12:41:45 GMT 2021","Wed Aug 18 12:41:55 GMT 2021","10101","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Wed Aug 18 12:40:12 GMT 2021","Wed Aug 18 12:41:32 GMT 2021","79613","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 18 12:39:33 GMT 2021","Wed Aug 18 12:40:12 GMT 2021","39160","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Wed Aug 18 12:41:55 GMT 2021","Wed Aug 18 12:42:13 GMT 2021","18251","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 18 12:42:21 GMT 2021","Wed Aug 18 12:42:29 GMT 2021","8024","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"failed","Wed Aug 18 12:39:19 GMT 2021","Wed Aug 18 12:39:33 GMT 2021","13385","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"failed","Wed Aug 18 12:41:32 GMT 2021","Wed Aug 18 12:41:45 GMT 2021","13132","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Wed Aug 18 12:42:13 GMT 2021","Wed Aug 18 12:42:21 GMT 2021","8061","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
