"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 06:16:24 GMT 2021","Sun Aug 15 06:16:38 GMT 2021","13338","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"failed","Sun Aug 15 06:14:59 GMT 2021","Sun Aug 15 06:15:17 GMT 2021","17327","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"failed","Sun Aug 15 06:14:36 GMT 2021","Sun Aug 15 06:14:49 GMT 2021","13133","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sun Aug 15 06:13:17 GMT 2021","Sun Aug 15 06:14:36 GMT 2021","78666","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"failed","Sun Aug 15 06:16:45 GMT 2021","Sun Aug 15 06:17:01 GMT 2021","15432","vizsgaremek_tests","test_1060_pag","","","","test_1060_pag",""
"failed","Sun Aug 15 06:16:38 GMT 2021","Sun Aug 15 06:16:45 GMT 2021","7237","vizsgaremek_tests","test_1051_list","","","","test_1051_list",""
"passed","Sun Aug 15 06:15:25 GMT 2021","Sun Aug 15 06:15:33 GMT 2021","8088","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Sun Aug 15 06:12:38 GMT 2021","Sun Aug 15 06:13:17 GMT 2021","39470","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Sun Aug 15 06:14:49 GMT 2021","Sun Aug 15 06:14:59 GMT 2021","10125","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Sun Aug 15 06:15:44 GMT 2021","Sun Aug 15 06:16:24 GMT 2021","40643","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Sun Aug 15 06:15:33 GMT 2021","Sun Aug 15 06:15:44 GMT 2021","10968","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Sun Aug 15 06:15:17 GMT 2021","Sun Aug 15 06:15:25 GMT 2021","8102","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Sun Aug 15 06:12:11 GMT 2021","Sun Aug 15 06:12:38 GMT 2021","27277","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
