"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 21 15:54:49 GMT 2021","Mon Jun 21 15:54:49 GMT 2021","0","seleniumide-tests","test_login","TestLogin","","","test_login",""
"broken","Mon Jun 21 15:54:55 GMT 2021","Mon Jun 21 15:54:55 GMT 2021","0","seleniumide-tests","test_post","TestPost","","","test_post",""
"broken","Mon Jun 21 15:54:57 GMT 2021","Mon Jun 21 15:54:57 GMT 2021","0","seleniumide-tests","test_registration","TestRegistration","","","test_registration",""
