"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 15:46:21 GMT 2021","Wed Aug 11 15:46:30 GMT 2021","9373","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"failed","Wed Aug 11 15:45:58 GMT 2021","Wed Aug 11 15:46:21 GMT 2021","22726","vizsgaremek_tests","test_1041_upload","","","","test_1045_upload",""
"passed","Wed Aug 11 15:43:30 GMT 2021","Wed Aug 11 15:44:49 GMT 2021","79724","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 11 15:45:31 GMT 2021","Wed Aug 11 15:45:39 GMT 2021","8106","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Wed Aug 11 15:45:47 GMT 2021","Wed Aug 11 15:45:58 GMT 2021","11044","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Wed Aug 11 15:45:39 GMT 2021","Wed Aug 11 15:45:47 GMT 2021","8115","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"failed","Wed Aug 11 15:42:38 GMT 2021","Wed Aug 11 15:42:50 GMT 2021","12594","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"failed","Wed Aug 11 15:45:13 GMT 2021","Wed Aug 11 15:45:31 GMT 2021","18294","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 15:46:30 GMT 2021","Wed Aug 11 15:46:34 GMT 2021","3434","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Wed Aug 11 15:45:02 GMT 2021","Wed Aug 11 15:45:13 GMT 2021","10195","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"passed","Wed Aug 11 15:42:50 GMT 2021","Wed Aug 11 15:43:30 GMT 2021","39078","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Wed Aug 11 15:44:49 GMT 2021","Wed Aug 11 15:45:02 GMT 2021","13149","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
