"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 07:24:56 GMT 2021","Thu Aug 12 07:25:07 GMT 2021","10298","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Thu Aug 12 07:23:39 GMT 2021","Thu Aug 12 07:23:49 GMT 2021","10071","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Thu Aug 12 07:23:26 GMT 2021","Thu Aug 12 07:23:39 GMT 2021","13069","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"failed","Thu Aug 12 07:21:14 GMT 2021","Thu Aug 12 07:21:27 GMT 2021","13445","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Thu Aug 12 07:25:07 GMT 2021","Thu Aug 12 07:25:10 GMT 2021","2941","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"passed","Thu Aug 12 07:24:23 GMT 2021","Thu Aug 12 07:24:34 GMT 2021","10912","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"failed","Thu Aug 12 07:24:34 GMT 2021","Thu Aug 12 07:24:56 GMT 2021","22648","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Thu Aug 12 07:24:08 GMT 2021","Thu Aug 12 07:24:15 GMT 2021","7087","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Thu Aug 12 07:23:49 GMT 2021","Thu Aug 12 07:24:07 GMT 2021","18361","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Thu Aug 12 07:21:27 GMT 2021","Thu Aug 12 07:22:06 GMT 2021","39011","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Thu Aug 12 07:22:06 GMT 2021","Thu Aug 12 07:23:26 GMT 2021","79689","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Thu Aug 12 07:24:15 GMT 2021","Thu Aug 12 07:24:23 GMT 2021","7993","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
