"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 17:08:56 GMT 2021","Wed Aug 11 17:09:06 GMT 2021","10171","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Wed Aug 11 17:05:27 GMT 2021","Wed Aug 11 17:06:06 GMT 2021","38955","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Wed Aug 11 17:05:14 GMT 2021","Wed Aug 11 17:05:27 GMT 2021","13485","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Wed Aug 11 17:08:15 GMT 2021","Wed Aug 11 17:08:23 GMT 2021","8027","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Wed Aug 11 17:06:06 GMT 2021","Wed Aug 11 17:07:26 GMT 2021","79663","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Wed Aug 11 17:07:39 GMT 2021","Wed Aug 11 17:07:49 GMT 2021","10020","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Wed Aug 11 17:07:26 GMT 2021","Wed Aug 11 17:07:39 GMT 2021","12956","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"failed","Wed Aug 11 17:07:49 GMT 2021","Wed Aug 11 17:08:07 GMT 2021","18188","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Wed Aug 11 17:08:07 GMT 2021","Wed Aug 11 17:08:15 GMT 2021","7952","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"passed","Wed Aug 11 17:08:23 GMT 2021","Wed Aug 11 17:08:34 GMT 2021","10336","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"passed","Wed Aug 11 17:09:06 GMT 2021","Wed Aug 11 17:09:09 GMT 2021","2689","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"failed","Wed Aug 11 17:08:34 GMT 2021","Wed Aug 11 17:08:56 GMT 2021","22249","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
