"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 10:35:57 GMT 2021","Sat Aug 14 10:36:07 GMT 2021","10403","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Sat Aug 14 10:35:43 GMT 2021","Sat Aug 14 10:35:54 GMT 2021","11080","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"failed","Sat Aug 14 10:34:45 GMT 2021","Sat Aug 14 10:34:58 GMT 2021","13154","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sat Aug 14 10:36:07 GMT 2021","Sat Aug 14 10:36:11 GMT 2021","3396","vizsgaremek_tests","test_1061_list","","","","test_1051_list",""
"failed","Sat Aug 14 10:35:09 GMT 2021","Sat Aug 14 10:35:27 GMT 2021","18419","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Sat Aug 14 10:32:46 GMT 2021","Sat Aug 14 10:33:25 GMT 2021","39197","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"passed","Sat Aug 14 10:35:27 GMT 2021","Sat Aug 14 10:35:35 GMT 2021","8195","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"broken","Sat Aug 14 10:35:54 GMT 2021","Sat Aug 14 10:35:57 GMT 2021","2087","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Sat Aug 14 10:34:58 GMT 2021","Sat Aug 14 10:35:09 GMT 2021","10243","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Sat Aug 14 10:32:29 GMT 2021","Sat Aug 14 10:32:46 GMT 2021","17202","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
"passed","Sat Aug 14 10:33:25 GMT 2021","Sat Aug 14 10:34:45 GMT 2021","79837","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"passed","Sat Aug 14 10:35:35 GMT 2021","Sat Aug 14 10:35:43 GMT 2021","8126","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
